user_id,song_id,rating
720,3751,5
526,4254,5
628,2335,3
330,3979,3
921,2488,4
309,1225,3
507,4736,4
787,3770,3
316,414,4
381,779,4
939,1229,5
355,2475,4
73,3097,3
625,1722,1
309,560,5
42,3302,1
859,150,1
717,2058,2
303,592,4
540,4937,4
234,1670,2
564,4971,5
439,2128,3
379,4195,1
506,745,2
975,188,1
440,3499,5
964,1280,3
586,1913,4
384,4258,5
428,1117,3
972,2562,3
309,2919,4
89,3476,5
53,2134,5
205,2411,2
787,4111,3
791,4108,5
416,1029,5
898,2200,5
542,2810,2
861,4331,2
960,4484,4
893,4991,4
325,550,5
50,2114,5
332,3592,3
930,2763,2
697,4812,5
613,4235,5
511,3556,1
665,1496,2
313,1401,4
455,2182,2
922,2652,3
799,4996,2
641,3014,2
81,1043,1
925,2035,1
389,1361,4
41,4533,4
75,3996,4
976,3508,5
348,2234,5
501,932,4
404,3156,1
595,4581,5
754,4871,2
390,655,3
387,3356,3
410,1687,3
524,635,5
50,4126,5
520,598,2
306,2411,2
570,3300,1
146,3156,5
670,3033,1
247,3731,2
628,4944,3
885,2090,2
31,4717,3
929,3843,4
986,634,2
92,3438,2
528,1259,1
954,2634,4
582,4469,1
844,4781,2
559,4789,5
231,3642,4
400,1713,5
627,1589,3
614,4742,3
468,2253,5
521,4431,5
473,2269,3
874,1961,3
820,1073,4
381,3541,4
955,2908,1
959,1953,5
589,1202,4
793,3447,4
900,1385,5
187,1947,5
491,2969,2
731,4047,2
912,3032,3
781,2707,5
758,3817,2
802,1546,3
234,223,2
554,543,2
938,2316,3
343,4062,4
575,1533,1
706,3019,4
477,497,1
349,4478,1
51,1951,4
324,4109,5
184,1883,1
585,1506,2
701,3817,2
505,471,3
817,1043,3
342,3060,1
378,696,4
531,3359,4
785,3881,2
921,2534,3
119,517,5
987,88,3
504,4529,1
880,4931,3
698,1105,5
17,610,1
481,1680,5
235,2120,5
849,3873,1
552,3260,1
410,1987,5
967,4021,4
301,4077,5
47,26,2
866,1280,2
279,2536,2
122,895,1
272,4017,5
670,1387,4
988,4955,5
730,4944,3
75,806,5
569,199,5
643,128,1
688,4115,5
717,4488,1
282,1801,3
115,1711,1
792,3242,1
673,1213,5
88,1588,5
157,974,3
329,3612,5
920,2782,2
230,4870,5
226,3459,5
643,1559,4
128,3290,4
285,114,1
523,2729,2
917,2457,4
992,4858,2
760,1161,4
236,2164,1
848,1885,3
608,4727,5
894,2020,5
33,2983,2
539,4066,1
920,3603,4
791,3463,2
180,3634,4
77,2387,2
328,3274,3
501,2753,1
356,4847,3
569,913,1
611,451,5
50,3291,3
806,882,2
83,956,2
64,3777,5
912,248,1
430,4618,4
253,3629,3
446,116,2
844,4986,4
669,362,4
106,1712,4
222,3338,2
901,2969,3
23,3238,2
737,2399,4
348,684,5
615,1326,2
769,1163,3
514,714,2
966,3789,4
281,1856,5
875,750,5
7,2179,1
642,583,2
351,3474,5
387,4631,3
359,4434,4
597,3924,5
281,705,5
84,1610,1
746,962,2
787,3723,1
158,3792,4
202,3474,3
563,2484,3
775,520,5
286,3343,2
468,778,4
509,587,2
337,919,2
145,2569,2
170,944,5
287,572,4
881,1595,2
681,3500,5
605,1484,1
66,1592,4
386,2579,5
670,1723,3
636,1720,1
381,70,4
532,3132,2
377,64,4
400,105,3
6,203,5
440,4299,3
28,3180,1
45,2329,4
932,4703,2
300,4803,4
700,3835,2
152,1509,4
811,4068,1
563,359,3
128,1827,1
809,218,2
59,2596,3
895,914,1
301,4520,2
899,3154,3
592,4491,2
914,1271,1
89,3593,5
462,4328,2
317,1811,3
912,2471,3
480,1849,1
305,4631,4
106,1670,5
76,1204,5
355,3837,2
800,1927,2
518,2100,4
1,3751,2
150,1452,4
960,4480,3
142,183,3
106,2230,5
865,1285,3
144,526,5
794,1620,2
319,4126,3
31,4999,3
703,4803,5
698,2750,2
110,2527,1
516,276,4
16,550,2
151,1036,1
399,3846,1
397,694,4
189,2255,5
713,1058,2
277,1399,4
707,4130,1
613,2777,5
988,363,2
499,4241,3
314,1450,1
381,4145,1
429,4923,4
658,4317,4
805,4581,5
352,3110,5
921,1062,3
890,2174,1
537,613,5
749,1807,1
444,3978,3
903,2559,5
387,1061,1
881,1249,4
239,3037,1
773,4523,3
797,3678,2
716,2442,2
6,2615,4
437,3137,5
134,390,3
849,3064,5
264,2497,4
289,3603,5
315,3779,5
125,870,4
412,810,5
881,525,3
423,600,5
535,3966,5
959,35,2
840,3179,3
266,4386,2
796,2507,4
393,2304,1
833,4719,3
539,4325,2
505,4217,3
461,3100,5
2,1812,3
712,2367,3
630,3743,1
283,2687,2
37,2356,1
184,4603,1
779,277,5
663,4109,4
557,3383,5
972,4712,4
380,3509,3
751,1806,3
23,264,5
170,4174,5
672,3391,3
15,3414,2
936,3039,3
942,4538,3
114,2471,3
940,2882,5
868,3242,4
464,2102,2
692,4263,5
138,2393,4
887,1198,4
653,3522,1
264,4997,2
889,3504,4
984,3322,4
767,2472,3
469,3917,5
469,4728,5
828,361,3
824,679,3
36,2617,2
581,4932,3
223,968,5
351,2380,2
213,3918,4
344,816,3
332,2115,4
318,1398,1
127,4407,2
345,429,4
985,1703,2
865,811,4
150,2972,3
116,187,5
423,983,1
829,3032,5
245,2881,3
672,4493,3
93,1216,5
326,3474,2
734,1791,4
950,1285,2
68,3224,3
367,4478,2
695,365,3
270,3834,2
583,3397,3
506,3937,2
827,1231,2
837,4868,1
817,2647,5
636,407,3
950,2734,4
694,3256,5
279,1240,2
397,3660,3
889,2951,5
930,580,5
875,3449,4
39,782,4
459,17,2
345,3546,2
997,3207,3
512,4707,1
389,1900,2
522,2324,3
536,2443,2
164,3903,5
945,1963,3
147,1433,1
89,1140,5
261,4134,4
982,2355,5
980,2852,3
119,963,4
148,4569,4
458,4870,3
83,428,4
282,4198,2
763,41,3
253,2527,1
916,2973,5
377,165,1
927,377,3
97,4601,1
418,3726,2
571,3713,5
545,4312,4
184,4591,5
304,2598,2
74,541,5
845,3178,3
182,2520,5
514,2032,3
517,1560,3
954,2418,3
644,4556,4
120,3115,3
936,3519,5
619,3883,5
379,1869,3
610,3023,1
721,2613,3
493,4583,1
601,1408,1
689,4642,2
803,1264,1
38,3458,3
713,1888,4
159,3196,2
616,1715,1
84,2940,4
670,3212,1
596,2247,3
494,25,3
686,801,1
364,1532,1
162,4977,2
666,3975,2
291,2318,2
849,3480,3
957,4950,2
721,3087,1
146,169,5
391,88,3
99,3618,2
144,2997,2
479,4317,1
294,4060,5
474,992,4
772,4301,1
476,1307,2
460,1370,1
915,1606,3
178,676,2
151,574,4
502,3978,5
694,1629,3
502,376,4
668,4108,1
912,4953,4
520,1194,4
736,4303,2
255,1345,3
837,4737,3
197,1044,3
571,1973,5
377,3279,1
708,3542,4
235,4780,2
644,180,3
615,4544,2
411,338,4
986,3629,1
644,529,3
919,1842,4
742,1211,2
420,113,2
737,2942,3
818,101,1
384,402,3
17,1809,5
671,866,5
570,4336,4
349,2477,2
949,2819,1
405,1688,2
85,4195,3
14,1361,1
92,2695,1
135,4469,3
579,1020,3
297,317,4
772,2114,5
168,4224,5
423,2554,4
227,2597,4
953,4556,3
119,663,4
149,334,2
940,2388,5
439,2130,3
414,1453,4
61,3003,3
621,4304,2
582,4004,5
713,2145,2
876,2720,2
835,3625,3
264,1263,2
122,1317,2
779,4734,1
852,3831,4
483,4330,3
218,1767,5
450,1271,4
179,2465,2
